px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.6043	18.6018	7.98352	2.33381	43.9218	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.37152e-321
17.1739	18.884	8.12682	1.31479	43.9235	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	2.37152e-321
17.3216	19.6695	8.32277	2.42323	43.635	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.37152e-321
16.6327	19.1198	8.17678	-2.41933	42.1631	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.37152e-321
15.5898	18.1618	8.57087	-2.53469	42.2757	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	2.37152e-321
16.3666	19.4261	7.94255	0.749276	51.4095	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	2.37152e-321
14.1212	17.493	7.12183	-0.263881	50.7752	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	2.37152e-321
15.9202	19.8548	7.82626	2.27542	51.7315	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	2.37152e-321
16.5178	19.0476	7.54015	2.55824	51.7173	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.37152e-321
15.3992	20.1319	7.87511	-2.05765	53.7556	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	2.37152e-321
15.921	20.9036	7.59652	-1.02478	54.0406	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	2.37152e-321
15.2987	20.4975	7.7088	0.214789	54.7125	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	2.37152e-321
14.5391	20.4471	7.48002	1.12835	54.5702	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.37152e-321
14.655	20.6143	7.56561	-2.55306	54.7433	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	2.37152e-321
11.2977	18.3289	8.64915	-2.26717	54.7662	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	2.37152e-321
14.0456	20.5975	7.68188	0.773647	54.7133	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	2.37152e-321
11.4322	18.1378	6.89373	-0.758014	52.6613	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	2.37152e-321
13.4653	20.7218	7.63576	-0.81747	52.6666	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.37152e-321
13.9831	20.3956	7.70461	0.955604	52.4227	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.37152e-321
13.1184	20.8215	7.41363	-2.51321	52.1195	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	2.37152e-321
9.16882	17.7044	8.70819	0.296576	51.6936	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.37152e-321
12.8786	21.0408	6.89502	1.06387	49.0719	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	2.37152e-321
12.9119	21.5705	6.99562	-2.06386	49.1311	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.37152e-321
12.3001	21.0596	7.0402	-1.76239	47.1336	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	2.37152e-321
12.3924	21.1095	7.02615	-2.44377	46.7547	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	2.37152e-321
11.7055	20.8366	7.18221	2.69577	46.909	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	2.37152e-321
11.5714	20.6942	7.16213	-1.37996	46.7413	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	2.37152e-321
11.3714	21.0705	7.26587	2.02444	47.7769	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	2.37152e-321
11.1661	20.9868	7.35943	-2.53358	47.4563	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	2.37152e-321
10.8926	20.9237	7.46638	-1.30492	47.6299	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	2.37152e-321
10.5581	22.6563	7.08981	-2.57086	47.5154	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	2.37152e-321
10.1785	21.2254	7.47816	-2.11473	42.7822	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	2.37152e-321
10.4286	21.3313	7.45431	-1.81045	45.8345	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	2.37152e-321
10.0229	20.9732	7.709	2.51725	53.5144	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	2.37152e-321
9.12638	21.6011	7.93593	-2.86881	54.2385	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.37152e-321
9.53557	20.8893	7.80235	-0.162172	54.3079	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	2.37152e-321
9.58096	20.8325	8.52664	-0.840493	44.7528	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	2.37152e-321
8.72455	20.8411	8.31929	1.69232	46.008	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.37152e-321
8.76153	18.8312	7.93985	-1.59961	48.325	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	2.37152e-321
8.37019	20.4795	7.53097	-0.208891	59.9181	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.37152e-321
8.43706	20.6405	7.51366	-2.27589	58.1203	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	2.37152e-321
7.89069	20.446	7.48193	0.777756	57.9055	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	2.37152e-321
2.47767	15.4553	5.92457	-2.3345	58.0083	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	2.37152e-321
7.19454	20.3777	3.86168	-0.864754	58.4312	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	2.37152e-321
7.25971	20.2841	2.49139	0.756337	56.0265	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	2.37152e-321
6.8173	20.184	2.38516	2.8625	55.9764	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	2.37152e-321
7.25703	20.1303	6.24458	2.54605	57.3614	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	2.37152e-321
6.41653	20.0541	6.54669	2.94772	58.7516	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	2.37152e-321
6.99325	19.8854	6.43242	-0.072035	54.6835	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.37152e-321
5.86341	19.8603	6.05109	0.843091	58.0018	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	2.37152e-321
-1.27214	12.1215	3.2579	-2.15232	60.9918	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	2.37152e-321
5.67705	19.5847	5.88752	-0.767183	62.3227	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	2.37152e-321
6.58801	18.7203	6.1536	-1.68419	55.4812	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	2.37152e-321
5.20048	19.4363	5.8859	-0.519782	60.0502	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	2.37152e-321
6.70478	18.7939	5.12873	2.55095	52.0381	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	2.37152e-321
5.04203	19.2066	5.06357	1.92263	55.7149	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	2.37152e-321
4.42532	20.1665	5.48838	-0.332706	43.4028	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	2.37152e-321
4.47856	18.863	5.27213	-1.47251	42.4955	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	2.37152e-321
4.56464	17.9064	4.72214	-2.85263	48.6407	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	2.37152e-321
4.26449	18.475	4.66706	-1.27777	53.4306	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	2.37152e-321
3.73792	20.3705	3.53416	-2.4356	61.7507	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	2.37152e-321
3.4412	18.1881	4.09907	-0.795453	63.6986	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.37152e-321
5.08109	16.5524	4.40588	-1.67989	63.3677	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	2.37152e-321
3.16524	17.745	4.03025	2.37064	63.6197	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	2.37152e-321
2.36583	18.403	2.68815	-0.0284993	67.4933	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.37152e-321
2.94529	17.829	2.48737	2.48128	67.1469	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	2.37152e-321
4.13872	16.8276	0.731037	-0.914771	64.4454	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	2.37152e-321
2.67078	17.1753	2.0031	2.07654	61.6592	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	2.37152e-321
2.64054	16.7457	1.00975	-2.3951	47.4126	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.37152e-321
2.25658	16.8303	1.12452	-1.22668	47.2974	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	2.37152e-321
2.04045	17.2826	3.79594	-2.73003	49.7317	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	2.37152e-321
1.88443	16.1175	4.10208	2.26673	49.8915	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.37152e-321
1.65165	16.2369	3.96597	-1.83486	49.1614	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	2.37152e-321
1.44695	16.0855	4.02984	1.87087	49.4284	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	2.37152e-321
1.63003	14.5813	3.99833	-1.61916	52.868	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.37152e-321
1.22918	15.4262	4.21034	2.5066	51.4201	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	2.37152e-321
-0.177426	16.6731	4.81512	-2.02014	37.7191	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	2.37152e-321
0.711068	15.0132	4.74175	-1.81668	42.009	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.37152e-321
-4.25461	-5.18887	8.52502	1.65181	40.1845	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.37152e-321
0.7285	14.704	4.60527	-1.19176	38.835	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	2.37152e-321
0.908767	14.171	4.83827	-1.40177	39.2971	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	2.37152e-321
0.363276	14.2216	4.82029	-2.58102	31.6063	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	2.37152e-321
