px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	yaw_angle	yaw_rate	NIS
20.262	11.6284	4.84701	1.52023	0.562355	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	11.16
20.3352	11.8646	4.85065	1.52344	0.535908	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	4.50224
20.3593	12.0999	4.85084	1.5303	0.49694	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	3.61098
20.3501	12.3723	4.8815	1.56343	0.503857	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	0.895312
20.2993	12.6134	4.8691	1.6221	0.559981	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	3.48799
20.3244	12.8522	4.86651	1.63442	0.543851	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	1.72087
20.3095	13.087	4.85758	1.66268	0.549459	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	2.16366
20.2732	13.3046	4.83214	1.69344	0.554364	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	1.2776
20.2329	13.5408	4.82985	1.72101	0.550268	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	1.3235
20.2148	13.7923	4.84292	1.74066	0.541408	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	1.11818
20.157	14.0227	4.83511	1.77815	0.560135	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	0.950828
20.1044	14.2709	4.8486	1.80581	0.558975	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.244639
20.0316	14.5006	4.84517	1.838	0.562528	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	1.43482
19.9269	14.7462	4.86603	1.87931	0.574754	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	1.23714
19.8588	14.967	4.85387	1.89784	0.554322	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	3.42764
19.8248	15.1894	4.836	1.90903	0.538612	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	2.12607
19.6911	15.4015	4.83295	1.98318	0.628146	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	8.03642
19.6553	15.6008	4.79225	1.99345	0.6091	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	3.83159
19.5577	15.8106	4.78353	2.02117	0.603894	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.98241	0.547873	1.43365
19.4554	16.0212	4.77862	2.0499	0.602713	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.0098	0.548437	0.0284248
19.3514	16.2321	4.77457	2.0669	0.575023	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.03722	0.548915	1.86075
19.2395	16.4128	4.74469	2.09736	0.578543	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.06467	0.549305	1.05435
19.1184	16.6127	4.74112	2.12738	0.581349	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.09213	0.549609	0.323752
18.9921	16.8161	4.74437	2.15529	0.579994	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.11961	0.549826	0.0329863
18.8351	17.0075	4.75515	2.21222	0.636814	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.1471	0.549957	6.41976
18.672	17.2277	4.79553	2.24467	0.635067	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.1746	0.55	1.48735
18.5661	17.4346	4.78389	2.23247	0.553352	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.2021	0.549957	6.16503
18.3598	17.6159	4.8107	2.27856	0.570283	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.2296	0.549826	3.78989
18.2229	17.8077	4.80408	2.28313	0.523852	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.25709	0.549609	2.51283
18.0893	17.9944	4.79507	2.30034	0.515366	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.28457	0.549305	0.912594
17.9127	18.1512	4.78843	2.34226	0.543857	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.31204	0.548915	1.92661
17.7741	18.3009	4.75119	2.36479	0.541144	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.33948	0.548437	1.2728
17.6377	18.4851	4.74333	2.37213	0.513492	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	2.3669	0.547873	6.7695
17.4498	18.6584	4.7632	2.39973	0.514419	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.3943	0.547223	0.348351
17.2671	18.802	4.7554	2.43391	0.528806	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.42166	0.546486	1.76903
17.1021	18.9414	4.73204	2.4587	0.528269	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	2.44898	0.545663	0.467546
16.9347	19.1115	4.73608	2.4705	0.50698	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.47627	0.544754	3.04697
16.7196	19.2248	4.7322	2.51072	0.522042	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.5035	0.543759	2.70144
16.5311	19.3767	4.74133	2.53395	0.521788	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	2.53069	0.542677	3.18333
16.3152	19.5291	4.772	2.55959	0.519927	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	2.55783	0.54151	0.785891
16.0906	19.6145	4.76197	2.60917	0.553826	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	2.5849	0.540258	10.0694
15.8889	19.7551	4.77426	2.62952	0.545911	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	2.61191	0.53892	0.76889
15.6976	19.8815	4.76041	2.63574	0.504692	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.63886	0.537498	3.25429
15.4754	20.0273	4.79404	2.6541	0.496236	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	2.66574	0.53599	1.41939
15.2688	20.1657	4.80587	2.66554	0.476796	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	2.69253	0.534397	5.77686
15.0772	20.2992	4.80206	2.67718	0.46477	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	2.71925	0.532721	1.83997
14.8482	20.3816	4.80162	2.71364	0.483967	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.74589	0.53096	2.10073
14.6331	20.5003	4.81086	2.73043	0.476203	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	2.77244	0.529115	0.684209
14.4004	20.5854	4.81998	2.76577	0.498003	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	2.79889	0.527187	1.32215
14.1551	20.6596	4.8324	2.79762	0.504457	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	2.82525	0.525176	0.799121
13.921	20.7295	4.83675	2.8325	0.523145	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	2.85151	0.523081	0.409536
13.6526	20.7911	4.86788	2.86716	0.530368	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.87767	0.520904	2.02669
13.407	20.8211	4.8707	2.91936	0.576731	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.90371	0.518645	2.48674
13.159	20.8652	4.87758	2.95151	0.579736	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	2.92964	0.516304	0.208402
12.9283	20.9225	4.8746	2.97401	0.572716	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.95546	0.513881	1.71443
12.7175	20.9733	4.85001	2.99477	0.565987	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	2.98115	0.511377	1.66003
12.4693	21.0114	4.86229	3.02385	0.569374	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	3.00672	0.508793	2.66768
12.2222	21.0501	4.87282	3.04811	0.564591	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	3.03216	0.506127	0.21077
